state,min_lat,max_lat,min_lon,max_lon
Alabama,29.90152205,35.251194950000006,-88.65247604999999,-84.70899695
Alaska,48.9871817,76.0128183,-197.9544957,-112.0455043
Arizona,31.0488077,37.2865403,-115.1023721,-108.7567339
Arkansas,32.8295363,36.6742937,-94.8665706,-89.3948714
California,32.05479845,42.483536550000004,-124.9980096,-113.61374439999999
Colorado,36.792548849999996,41.20282615,-109.41110975,-101.69118325000001
Connecticut,40.8960139,42.104454100000005,-73.8247531,-71.6912349
Delaware,38.382472899999996,39.9039731,-75.8287117,-74.9461663
Florida,24.066089350000002,31.33089965,-88.01770995,-79.59245905
Georgia,30.1236629,35.2297331,-85.84627525,-80.54184975
Hawaii,17.51769835,22.48230165,-161.184213,-152.815787
Idaho,41.637548800000005,49.3514792,-117.55268095000001,-110.73690604999999
Illinois,36.696769849999995,42.785229150000006,-91.73626304999999,-86.79534795000001
Indiana,37.57408245,41.95950855,-88.26352285,-84.61964415
Iowa,40.2265891,43.6564529,-96.96445619999999,-89.81508980000001
Kansas,36.842512899999996,40.153581100000004,-102.42491054999999,-94.21524645000001
Kentucky,36.3645243,39.2802657,-89.95151955,-81.58455545
Louisiana,28.65269945,33.227193549999996,-94.306803,-88.503467
Maine,42.69205075,47.686870250000005,-71.2938522,-66.6755198
Maryland,37.7948253,39.81397870000001,-79.71271945,-74.76121355000001
Massachusetts,41.10338135,42.97170165,-73.69066400000001,-69.67667599999999
Michigan,41.36562075,48.63656025,-90.83316305,-81.70819995000001
Minnesota,43.20618555,49.67868345,-97.62587565000001,-89.09564735
Mississippi,29.89705255,35.23848645,-91.8318174,-87.9204286
Missouri,35.76485025,40.844534749999994,-96.1072599,-88.7656201
Montana,44.127429549999995,49.232913450000005,-116.6495787,-103.4392233
Nebraska,39.849999499999996,43.149966500000005,-104.49049695,-94.87104205
Nevada,34.65220265,42.34459835,-120.29899085,-113.74350015
New Hampshire,42.566619900000006,45.4359061,-72.6561772,-70.47599480000001
New Jersey,38.6602095,41.4860545,-75.64414319999999,-73.80482880000001
New Mexico,31.0489579,37.283540099999996,-109.35242015,-102.69990285
New York,40.24961365,45.24282935,-80.16166435,-71.37824465
North Carolina,33.61111505,36.729899950000004,-84.76779095,-74.95645205
North Dakota,45.78392705,49.153621949999994,-104.42340605,-96.17969695000001
Ohio,38.20792845,42.52328455,-85.0352132,-80.3039328
Oklahoma,33.446881749999996,37.16935325,-103.43093359999999,-94.00244640000001
Oregon,41.77768245,46.514404549999995,-125.1155363,-116.0516397
Pennsylvania,39.58166955,42.65580545,-80.81134205000001,-74.39853894999999
Rhode Island,41.05310565,42.06478335,-71.94819235,-71.04763665
South Carolina,31.8349905,35.3761875,-83.59662680000001,-78.2565712
South Dakota,42.30962105,46.11843595,-104.4338558,-96.05564419999999
Tennessee,34.89820785,36.76301915,-90.7432852,-81.2137388
Texas,25.304788799999997,37.0335652,-107.30246125,-92.85116175
Utah,36.74884075,42.25183825,-114.30042599999999,-108.79219800000001
Vermont,42.612597750000006,45.12797325,-73.53654775,-71.36640725000001
Virginia,36.396481900000005,39.612180099999996,-84.100843,-74.740987
Washington,45.37092945,49.17498355,-125.24486105,-116.51946195000001
West Virginia,37.02967695,40.81066405,-82.89079,-77.473268
Wisconsin,42.252681800000005,47.550638199999995,-93.22142724999999,-85.91755375000001
Wyoming,40.797721,45.201108999999995,-111.40462135,-103.70318365
